"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","26/1322","101/11188",0.257425742574257,2.17857731310196,4.35525643507203,8.35590315836865e-05,0.000929570784155365,0.000622762145208398,"20293/12443/16452/22340/11596/18709/26416/13614/21808/20848/16476/12043/13653/17127/21813/26415/23797/21809/18712/26417/20846/18803/16176/18796/12825/18018",26
"Organismal Systems","Endocrine system","mmu04912","GnRH signaling pathway","24/1322","90/11188",0.266666666666667,2.25678265254665,4.38188588224463,8.49893288370619e-05,0.000929570784155365,0.000622762145208398,"18747/26407/26416/20779/11515/16439/16476/17387/13653/26397/18806/26399/26415/26417/12289/75600/12322/20662/14672/13712/18796/16438/11513/18805",24
"Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia","20/1322","70/11188",0.285714285714286,2.41798141344284,4.35620405013222,0.000116099902288967,0.0012313626000345,0.000824946338028096,"12443/56717/18709/16480/67603/12045/12044/20848/16409/12475/12047/12978/23797/18712/18854/26417/18627/12428/20662/12395",20
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","27/1322","109/11188",0.247706422018349,2.09632333550778,4.21020862986484,0.000124908598347813,0.00128582380652161,0.000861432400585846,"11689/24088/104709/16452/14677/18036/21939/12774/12265/26416/13063/11796/21808/20848/54721/12043/320207/26397/26399/22034/11797/26415/23797/21809/26417/54396/20846",27
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","31/1322","133/11188",0.233082706766917,1.97256378465073,4.13015672372859,0.0001383476378142,0.001383476378142,0.000926854341576267,"12442/12443/108099/74551/17246/18709/56484/20656/26416/21808/268697/20848/11920/12581/17127/213393/22035/21813/16197/26415/23797/21809/26417/54601/20873/20662/170755/12359/16000/13611/13197",31
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","50/1322","254/11188",0.196850393700787,1.66593207619093,3.92969866028889,0.000174099672541058,0.00169263570526029,0.00113397436841996,"18747/20293/12443/56717/170758/14677/17246/213233/19217/15040/18709/12774/72512/26416/14673/14082/13063/20779/11515/56480/20848/16439/20303/19225/231991/14674/20302/14701/22084/26399/20315/16177/26415/23797/26417/75600/66066/14102/20312/20662/13555/15042/14672/16176/13712/18796/16438/12571/18018/11513",50
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","32/1322","141/11188",0.226950354609929,1.92066608727374,4.02709167817907,0.000184535515841399,0.00174560623093215,0.00116946175546193,"14825/12443/108099/20250/100705/12268/56484/110695/56489/26416/14082/20310/56752/56480/26408/12894/11522/26397/12475/16803/26399/20249/14104/22034/12267/11669/26415/23797/14245/14102/64899/16176",32
"Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis","19/1322","67/11188",0.283582089552239,2.39993677602908,4.20703276648325,0.000190245031224912,0.00175225686654524,0.00117391732159202,"74551/56421/18648/13808/68738/110695/212032/66681/67689/56752/18746/15277/11522/11669/13382/319625/18655/60525/72141",19
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","47/1322","237/11188",0.19831223628692,1.6783035549002,3.86343284570353,0.000225344419357606,0.00202232171218364,0.00135484616045173,"18747/71785/15566/22340/170758/19395/18709/240168/233046/114713/19765/17532/19730/14256/14180/15234/20130/56480/225845/13637/14388/17311/14701/66350/18590/18806/14182/54635/12978/18591/21687/23797/26417/226525/75600/66066/54601/20662/23872/16000/18015/18803/13712/19418/16542/18805/19414",47
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","25/1322","103/11188",0.242718446601942,2.05411042404124,3.93404082777236,0.000307611700761358,0.00269160238166188,0.00180322800783251,"20293/24088/14677/18709/19053/26416/14082/21808/16476/14676/20302/21813/19052/12633/22034/26415/23797/21809/11421/26417/14281/14102/14672/16176/18796",25
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway","20/1322","75/11188",0.266666666666667,2.25678265254665,3.99739571926034,0.000322910312427411,0.00275655144755107,0.00184674036890482,"12442/12443/17246/107986/21933/13063/68428/268697/11920/12043/20135/22084/21825/12534/50883/12447/14102/16000/12571/13197",20
"Metabolism","Glycan biosynthesis and metabolism","mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","9/1322","21/11188",0.428571428571429,3.62697212016425,4.41061189138405,0.000340313099438907,0.00283594249532423,0.00189992807667736,"72136/319901/212898/59031/58250/217119/60322/233781/77590",9
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","25/1322","105/11188",0.238095238095238,2.01498451120236,3.82496432486201,0.000420984045840812,0.00342661432661126,0.00229564625439605,"15251/56717/16452/18036/26416/60504/20848/54721/20181/16476/16818/17127/16190/21813/12504/16177/26415/26417/14281/16364/18037/20846/18803/16176/18018",25
"Organismal Systems","Endocrine system","mmu04935","Growth hormone synthesis, secretion and action","27/1322","117/11188",0.230769230769231,1.95298498778075,3.79304116357299,0.000431136877873325,0.00342949789217418,0.00229757808735209,"18747/56717/16452/14677/18709/12702/26416/216233/11515/20848/16439/231991/26397/26399/26415/23797/26417/12289/14281/20662/16000/20846/14672/18803/18796/16438/11513",27
