"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC","pvalue","padj"
"4930532G15Rik",2.0016513491439,1.81331175908547,10.4979437025171,8.70260416251553e-05,0.000121938469562807,1.7107932993775,2.0016513491439,8.70260416251553e-05,0.000121938469562807
"Cep70",1.86485930062127,1.7266793058241,10.4979058983111,8.70276602810219e-05,0.000121938469562807,1.71077188997455,1.86485930062127,8.70276602810219e-05,0.000121938469562807
"Uhrf1bp1",1.81111129010122,1.63113631481089,10.4975204430804,8.70441662726609e-05,0.000121950677216814,1.71055359351083,1.81111129010122,8.70441662726609e-05,0.000121950677216814
"Egfl8",1.69087901129926,1.3788498597849,10.4957948880719,8.71181033393697e-05,0.000122043337605591,1.70957625935437,1.69087901129926,8.71181033393697e-05,0.000122043337605591
"Kif22",1.64591670843098,1.60539199645218,10.4946381328993,8.71677097358802e-05,0.00012210189973566,1.70892100125083,1.64591670843098,8.71677097358802e-05,0.00012210189973566
"Ly6g6c",1.66387867853495,1.6516113974661,10.4935567223567,8.72141151449989e-05,0.000122155967936712,1.70830836094158,1.66387867853495,8.72141151449989e-05,0.000122155967936712
"Rpp40",1.20666520703847,0.965204042060233,10.490396526896,8.73498921086254e-05,0.000122335193029246,1.70651770418109,1.20666520703847,8.73498921086254e-05,0.000122335193029246
"Gm49085",1.46093752419778,1.29624433108069,10.4878600344931,8.7459052010673e-05,0.000122477111675587,1.7050800844091,1.46093752419778,8.7459052010673e-05,0.000122477111675587
"Gm41556",1.23803570248197,1.29844734228626,10.487160966338,8.74891651905599e-05,0.000122508318290996,1.70468381216772,1.23803570248197,8.74891651905599e-05,0.000122508318290996
"Prrt1",1.21133450625177,1.08695105992281,10.4781756316511,8.78773085525554e-05,0.000123040812833786,1.69958816905029,1.21133450625177,8.78773085525554e-05,0.000123040812833786
"Zfp341",1.44289799467108,1.40894388754777,10.4775938149556,8.7902511393157e-05,0.000123065088868222,1.69925807381869,1.44289799467108,8.7902511393157e-05,0.000123065088868222
"H2bu2",1.35553340344602,1.38248632487013,10.4773021298799,8.7915149663844e-05,0.000123071771510094,1.69909257897024,1.35553340344602,8.7915149663844e-05,0.000123071771510094
"Nrip3",1.29428988421606,1.25824572192798,10.471804980856,8.81537335663305e-05,0.000123394724290718,1.6959728146504,1.29428988421606,8.81537335663305e-05,0.000123394724290718
"Trim46",1.26263898378359,1.02457749838553,10.4567406994715,8.88114636467173e-05,0.000124304273984243,1.68741549331772,1.26263898378359,8.88114636467173e-05,0.000124304273984243
"Gm3739",1.13154949137136,1.2664583732614,10.4557297076854,8.88558117634912e-05,0.000124355222473402,1.68684077651052,1.13154949137136,8.88558117634912e-05,0.000124355222473402
"D130020L05Rik",1.41763559208523,1.44640555561046,10.4553858472283,8.88709014747477e-05,0.000124365217874875,1.68664529070671,1.41763559208523,8.88709014747477e-05,0.000124365217874875
"Ccdc63",1.73467695004908,1.60804619051485,10.4551473930176,8.88813673908659e-05,0.000124368741565972,1.68650972511699,1.73467695004908,8.88813673908659e-05,0.000124368741565972
"Sh3d21",1.98125969896019,1.85187168618832,10.4478641937968,8.92017324597081e-05,0.000124805857432896,1.68236767806409,1.98125969896019,8.92017324597081e-05,0.000124805857432896
"Gucy1a2",1.32147065647894,1.11467396255367,10.4469479136261,8.92421330045245e-05,0.000124851220139007,1.68184638388133,1.32147065647894,8.92421330045245e-05,0.000124851220139007
"Zfp189",1.97851155935728,1.80370545477581,10.4459261527239,8.92872098191526e-05,0.000124903116328455,1.68126502794328,1.97851155935728,8.92872098191526e-05,0.000124903116328455
"Nepn",3.48187540842772,3.24300792247556,10.4448196324142,8.93360562016882e-05,0.000124960275984984,1.68063538517338,3.48187540842772,8.93360562016882e-05,0.000124960275984984
