"gene","log2FC","pvalue","padj"
"Dgkd",-1.26616212144021,0.05,0.05
"Usp40",-0.0938169122764787,0.05,0.05
"Ugt1a7c",0.000342627151530106,0.05,0.05
"Ugt1a6a",-0.199722942386718,0.05,0.05
"Ugt1a5",-0.000415901450767503,0.05,0.05
"Dnajb3",-0.332089511319235,0.05,0.05
"Mroh2a",0.0628709429698717,0.05,0.05
"Hjurp",0.154585135294542,0.05,0.05
"Glrp1",-0.0356447499934686,0.05,0.05
"Gm29336",-0.765739564255828,0.05,0.05
"Arl4c",-1.25300104568729,0.05,0.05
"Sh3bp4",0.0595933113362332,0.05,0.05
"Agap1",-0.674554349460986,0.05,0.05
"Gm28499",-0.268193421062713,0.05,0.05
"D130058E05Rik",0.0738734604662302,0.05,0.05
"Ackr3",0.112123641192627,0.05,0.05
"Gm28722",-0.0660974799386319,0.05,0.05
"Cops8",-0.0158413286238313,0.05,0.05
"Col6a3",-1.52301836488488,0.05,0.05
"Mlph",0.628423688045552,0.05,0.05
"Lrrfip1",0.0298457443294406,0.05,0.05
"Rbm44",0.103043643012936,0.05,0.05
"Ramp1",-1.70702087316914,0.05,0.05
"Ube2f",0.0246492018461408,0.05,0.05
"Scly",0.135479938249687,0.05,0.05
"Klhl30",-0.253329427017185,0.05,0.05
"Ilkap",-0.149638136613701,0.05,0.05
"Hes6",-0.0958735285501531,0.05,0.05
"Per2",0.510046471034239,0.05,0.05
"Traf3ip1",0.206116302331529,0.05,0.05
"Asb1",0.126621830083568,0.05,0.05
"Twist2",0.198319750710858,0.05,0.05
"Gm29101",0.212323533284648,0.05,0.05
"Hdac4",0.0128488452005016,0.05,0.05
"Ndufa10",-0.0683617947537485,0.05,0.05
"Cops9",-0.105830315533882,0.05,0.05
"Otos",-0.32356902549232,0.05,0.05
"Gpc1",-0.408242219422095,0.05,0.05
"Ankmy1",0.124713717086168,0.05,0.05
"Dusp28",-0.36168996586705,0.05,0.05
"Rnpepl1",-0.104523538331044,0.05,0.05
"9430060I03Rik",-0.286259205534383,0.05,0.05
"Capn10",-0.129265357143133,0.05,0.05
"Gpr35",1.07419862540723,0.05,0.05
"Kif1a",-0.0770797735450384,0.05,0.05
"Sned1",0.898286771773204,0.05,0.05
"Mterf4",0.14932366433188,0.05,0.05
"Gm28535",0.0661864926792451,0.05,0.05
"Pask",-0.0517812696262576,0.05,0.05
"Ppp1r7",0.0478601395080638,0.05,0.05
"Hdlbp",0.417335518063523,0.05,0.05
"Sept2",-0.236289064865089,0.05,0.05
"Farp2",0.135448941396284,0.05,0.05
"Stk25",-0.408317860571352,0.05,0.05
"Bok",0.0978313840197682,0.05,0.05
"Thap4",0.0234997359966602,0.05,0.05
"Atg4b",0.125134550805605,0.05,0.05
"Dtymk",-0.274839514569914,0.05,0.05
"Ing5",-0.0515623218265655,0.05,0.05
"D2hgdh",-0.171137575326752,0.05,0.05
"Gal3st2",-0.386775549278821,0.05,0.05
"Gal3st2b",-0.528714854357111,0.05,0.05
"Pdcd1",0.20011664124941,0.05,0.05
"Fam174a",-0.879236079146775,0.05,0.05
"St8sia4",-1.42858734683827,0.05,0.05
"Slco4c1",0.324686339951479,0.05,0.05
"D1Ertd622e",-0.414232128689209,0.05,0.05
"Ppip5k2",-0.285674062604677,0.05,0.05
"Gin1",-0.203723831590909,0.05,0.05
"Pam",-0.591368098388424,0.05,0.05
"B230216N24Rik",0.457635351605832,0.05,0.05
"1810006J02Rik",-0.271671982256773,0.05,0.05
"Gm7967",-0.0231931374335747,0.05,0.05
"Gm28187",0.043432919024885,0.05,0.05
"Rnf152",-1.17125680131078,0.05,0.05
"Gm17634",-0.379560168212373,0.05,0.05
"Pign",0.0770583925400481,0.05,0.05
"Gm28404",0.0397291169705176,0.05,0.05
"Relch",-0.237243565026418,0.05,0.05
"Tnfrsf11a",-0.621582068887323,0.05,0.05
"Gm7160",-0.671858210520363,0.05,0.05
"Zcchc2",-0.0344361414381824,0.05,0.05
"Phlpp1",-0.0399252210218792,0.05,0.05
"Bcl2",-0.681272114027604,0.05,0.05
"Kdsr",0.38936700960187,0.05,0.05
"Vps4b",0.0911271188708431,0.05,0.05
"Serpinb2",1.22508139251003,0.05,0.05
"Serpinb8",-1.32738476134324,0.05,0.05
"Cdh19",0.122976718862501,0.05,0.05
"Dsel",-0.236064447444238,0.05,0.05
"Tsn",-0.208024212856904,0.05,0.05
"Nifk",0.343274813996523,0.05,0.05
"Clasp1",0.108689481260982,0.05,0.05
"2900060B14Rik",0.53971660472295,0.05,0.05
"Tfcp2l1",-0.000792858674720703,0.05,0.05
"Gli2",-0.374398143074642,0.05,0.05
"Inhbb",0.873127332637382,0.05,0.05
"Ralb",0.21513349307882,0.05,0.05
"Gm27184",-0.0896084422884787,0.05,0.05
"Tmem185b",0.132937395136505,0.05,0.05
"Epb41l5",0.210137979486898,0.05,0.05
"Ptpn4",-0.259219663651738,0.05,0.05
"Tmem177",-0.104268975744576,0.05,0.05
"Tmem37",-1.11948569845624,0.05,0.05
"Dbi",-0.0855859690500527,0.05,0.05
"3110009E18Rik",-0.568257467550023,0.05,0.05
"Steap3",0.0226033729363637,0.05,0.05
"Marco",4.08972563466184,0.05,0.05
"Insig2",0.204119999465139,0.05,0.05
"Ccdc93",-0.355142578307945,0.05,0.05
"Ddx18",0.136428585010222,0.05,0.05
"Actr3",-0.225564993107468,0.05,0.05
"Slc35f5",-0.0339329660261738,0.05,0.05
"Gpr39",0.714715512924107,0.05,0.05
"Lypd1",-0.33532049757372,0.05,0.05
"Nckap5",-0.57194422219653,0.05,0.05
"Mgat5",-0.288518777307436,0.05,0.05
"Tmem163",-0.803726303415583,0.05,0.05
"2900009J06Rik",0.306888769344864,0.05,0.05
"Ccnt2",0.156787616415745,0.05,0.05
"Rab3gap1",-0.0537528264574245,0.05,0.05
"Zranb3",-0.271572885816539,0.05,0.05
"R3hdm1",0.0646955265770748,0.05,0.05
"Ubxn4",0.182384736907138,0.05,0.05
"Mcm6",-0.678388001473487,0.05,0.05
"Dars",-0.21848481372063,0.05,0.05
"Cxcr4",-1.14670519046327,0.05,0.05
"Cd55b",0.21438655925304,0.05,0.05
"Gm15675",0.168908003473793,0.05,0.05
"Cd55",-0.305392366072569,0.05,0.05
"Gm16083",-0.196372529336583,0.05,0.05
"Pfkfb2",-0.0337774057637943,0.05,0.05
"Yod1",0.2117217823009,0.05,0.05
"AA986860",0.151199139088247,0.05,0.05
"Pigr",-0.157369323663048,0.05,0.05
"Fcmr",-2.06414753104845,0.05,0.05
"Il19",0.423270902714814,0.05,0.05
"Il10",-0.554489842507282,0.05,0.05
"Mapkapk2",-0.270083680906446,0.05,0.05
"Dyrk3",-0.0893058005309892,0.05,0.05
"Eif2d",-0.0170222039136259,0.05,0.05
"Rassf5",-0.510142970822022,0.05,0.05
"Ikbke",2.39060864088965,0.05,0.05
"Gm28913",-0.114240418992678,0.05,0.05
"Srgap2",-0.299826308928392,0.05,0.05
"Gm29488",-0.206060656679171,0.05,0.05
"Fam72a",-0.409807086497014,0.05,0.05
"Ctse",-0.479389707602589,0.05,0.05
"Rab7b",-0.348068957482195,0.05,0.05
"Pm20d1",0.0205895148945333,0.05,0.05
"Slc41a1",-0.0745866867462111,0.05,0.05
"Rab29",0.0111322885002463,0.05,0.05
"Nucks1",-0.246444901822484,0.05,0.05
"Slc45a3",0.411889190894662,0.05,0.05
"Elk4",-0.318015860832803,0.05,0.05
"Mfsd4a",-0.30007921453244,0.05,0.05
"Cdk18",0.429350048881331,0.05,0.05
"Klhdc8a",-0.302583199973531,0.05,0.05
"Nuak2",0.523828108252534,0.05,0.05
"F730311O21Rik",-0.0592331379013527,0.05,0.05
"Tmcc2",-0.0531429636801639,0.05,0.05
"Dstyk",-0.104551553450983,0.05,0.05
"6030442K20Rik",-0.118934339754805,0.05,0.05
"Rbbp5",-0.0209746269931106,0.05,0.05
"Tmem81",-0.377297673738174,0.05,0.05
"Nfasc",1.29176556111328,0.05,0.05
"Lrrn2",-0.817593863853822,0.05,0.05
"Mdm4",0.000879036178907278,0.05,0.05
"Pik3c2b",-0.67564418746394,0.05,0.05
