"gene","log2FC","pvalue","padj","pct.1","pct.2"
"Ttc7",-1.2788543993472,8.7724442427291e-30,1.7872100655712e-25,0.08,0.13
"Nfam1",-1.0023655200238,1.21983320156018e-29,2.48516618153856e-25,0.097,0.15
"Plekhg5",-1.01837168718664,4.11525049207971e-29,8.383999827514e-25,0.078,0.128
"Fbxw4",-1.05799593725089,4.93480745943554e-29,1.0053683237108e-24,0.066,0.112
"Col4a4",-1.26393317144993,1.74814702479764e-28,3.56149993362022e-24,0.071,0.117
"Dut",-1.09280021231794,3.31865784951651e-28,6.76110163681999e-24,0.079,0.127
"Il16",-1.09068318240965,5.35026789796958e-28,1.09001007885334e-23,0.066,0.111
"Zfp710",-1.02026754114055,5.3992874203356e-28,1.09999682614497e-23,0.07,0.116
"Glcci1",-1.05427570748883,3.54532767913886e-27,7.2228960807096e-23,0.071,0.116
"Smco4",-1.01114068580511,8.80971547377027e-27,1.79480333347122e-22,0.185,0.24
"Pparg",1.04110663174266,9.00115687535227e-27,1.83380569021552e-22,0.127,0.08
"Clu",1.05614586080599,1.10327480948213e-26,2.24770176935795e-22,0.111,0.066
"Kdm2b",-1.09541201615468,5.90961396274698e-26,1.20396565263044e-21,0.069,0.113
"Snx8",-1.30143631834067,7.42570146563908e-26,1.51283815959465e-21,0.071,0.114
"Glb1",-1.08281160095802,6.12533001152697e-25,1.24791348324839e-20,0.068,0.109
"Dpp7",-1.08143460192068,4.19238909920925e-24,8.54115431181901e-20,0.063,0.103
"Gm12002",-1.30508205498259,1.83586937574387e-23,3.740216679203e-19,0.061,0.1
"Msr1",1.18151758240145,4.4603208382625e-23,9.08701164379219e-19,0.188,0.143
"Cxcl9",1.33858326936382,1.72541969632893e-22,3.51519754733093e-18,0.125,0.083
"Tsfm",-1.08719056856403,2.51714160095249e-21,5.12817258362051e-17,0.113,0.156
"Itgam",1.14331526914753,2.73340439226507e-21,5.56876476836162e-17,0.243,0.202
"Tspan2",-1.18352381518217,2.94987116033857e-21,6.00977251495777e-17,0.066,0.104
"Txndc16",-1.15382725698237,5.05556991710215e-21,1.02997125921122e-16,0.063,0.101
"Rassf2",-1.07980759941659,1.66245744924643e-19,3.38692456134976e-15,0.084,0.122
"AU020206",-1.07944206680195,1.76299981167985e-19,3.59175951633536e-15,0.075,0.114
"Abca8a",-1.24185646145773,1.22653141090121e-17,2.49881244342903e-13,0.154,0.19
"Dchs1",-1.04496040165512,9.46623934808126e-16,1.9285569423846e-11,0.072,0.104
"Slc23a2",-1.06370181945415,3.26763130702389e-15,6.65714526179976e-11,0.076,0.108
"Ogn",-1.26396289084675,2.442859396668e-14,4.97683744883171e-10,0.168,0.198
"Ctla2b",1.26637661605018,1.55148677684202e-12,3.16084401046025e-08,0.234,0.198
"Pcsk6",-1.19666081473161,6.07337200201532e-10,1.23732807797058e-05,0.157,0.181
"Ms4a6d",1.32483990799667,4.46780240665628e-08,0.000910225384308084,0.228,0.218
"Postn",-1.28181193068857,5.07295017354754e-08,0.00103351213885684,0.087,0.109
"2900060B14Rik",1.08343867553815,4.84956069476213e-07,0.00988001000343889,0.129,0.106
