"umap_1","umap_2","celltype","group","score"
-5.00944230541507,-4.46231985322,"CD4 T","G2_liver_met",0
-0.510350143759641,2.40714764365194,"CD8 T","G2_liver_met",0
13.0423002482959,6.72030973204611,"NK cell","G0_normal",0
8.188326859624,-5.2208385490513,"CD4 T","G2_liver_met",0
-5.52314374431888,-4.8978781723118,"CD8 T","G2_liver_met",0
-3.75293467029849,6.03938770064352,"CD4 T","G1_primary_CRC",2.42330408096313
4.17843964114865,9.12814855345724,"CD8 T","G1_primary_CRC",2.75329995155334
4.9332351924487,6.8832907653713,"NK cell","G0_normal",0
8.95799162402829,-4.39782977334024,"NK cell","G0_normal",0
9.24954798236569,-5.96778059235575,"CD4 T","G2_liver_met",0
-0.821559345572385,-16.8084292434788,"CD4 T","G0_normal",0
3.47513248935422,11.2719483352566,"CD8 T","G0_normal",0
8.94178965106687,-4.32763600579264,"NK cell","G2_liver_met",0
-4.97232053264895,7.62615632781027,"Monocyte","G0_normal",0
-0.155149137823972,-3.84905266991617,"CD8 T","G0_normal",0
1.74549653545102,-12.6270585083103,"CD4 T","G2_liver_met",0
4.37911322131833,10.1214699722194,"NK cell","G1_primary_CRC",0
-2.41918930992404,-14.2438206695652,"CD4 T","G2_liver_met",0
2.2878129722186,-4.43057775727274,"NKT","G2_liver_met",2.3577606678009
8.67926886096677,-1.75642252198221,"CD4 T","G2_liver_met",0
0.782119894177523,1.17979836234091,"CD45-","G0_normal",0
4.09782125964841,4.14026498564718,"CD4 T","G1_primary_CRC",0
-1.42692885383883,-16.4785170578098,"CD4 T","G1_primary_CRC",0
1.95889093890866,-5.02658653489115,"Bcell","G1_primary_CRC",1.70678353309631
1.83539655223569,-3.29996109238626,"CD4 T","G2_liver_met",0
13.0379867793628,6.5802335716152,"CD4 T","G1_primary_CRC",0
-11.8843383549146,-6.14175606003763,"CD45-","G1_primary_CRC",0
2.00681211963376,0.395864245977384,"CD4 T","G1_primary_CRC",0
-0.702104589193258,0.930763242330533,"CD8 T","G2_liver_met",0
-3.11240694507876,-5.58074856034281,"CD4 T","G2_liver_met",0
5.12552931323728,-12.2121377014256,"CD8 T","G2_liver_met",0
0.808216953427401,-3.70997476807596,"CD4 T","G2_liver_met",0
-3.73004910930911,1.95651793250082,"CD8 T","G1_primary_CRC",0
8.08774855151853,-4.9629359268284,"CD4 T","G0_normal",0
-2.44383344635287,-3.95328164330484,"NK cell","G2_liver_met",0
0.712150716931429,-2.04061889878275,"Macrophage","G1_primary_CRC",1.69655394554138
-3.79534099087039,-2.23572397461893,"CD8 T","G2_liver_met",0
-9.85909936413089,0.00126349696157557,"Bcell","G0_normal",0
-0.175000256150159,-2.19565320244791,"Bcell","G1_primary_CRC",0
-1.34997043594638,15.6234936691189,"Bcell","G0_normal",0
4.71858026996335,11.5660309768581,"NK cell","G0_normal",0
4.87745811954221,4.39474963912008,"CD8 T","G0_normal",0
-1.23056182846347,-9.12836313477518,"CD4 T","G2_liver_met",0
3.56372072711667,0.172732589330655,"CD8 T","G0_normal",0
-4.9803709743909,5.2351579643154,"Macrophage","G0_normal",0
-0.030358588545713,-7.33089208832743,"Bcell","G1_primary_CRC",0
2.68223454967221,11.8330645538235,"CD8 T","G0_normal",0
-2.28854904159823,-8.71458578339579,"CD8 T","G0_normal",0
-2.28624484524051,1.31416380175589,"CD8 T","G0_normal",0
2.70713832393369,4.57571315535544,"Bcell","G1_primary_CRC",0
-8.63116452678958,2.21721648940085,"Bcell","G0_normal",0
0.862785720975008,10.4035220123195,"CD4 T","G0_normal",0
-5.62697026714602,-0.0579669200515928,"CD4 T","G1_primary_CRC",0
8.96276953235349,-4.30557847252848,"Bcell","G1_primary_CRC",0
-2.65080676063815,-13.5492253326512,"CD4 T","G2_liver_met",0
-3.62761042103091,4.22116851576803,"Macrophage","G0_normal",0
6.27363016620358,6.60746145018576,"CD8 T","G0_normal",0
1.15054967418393,-17.1552634262181,"DC","G1_primary_CRC",0
13.650409722478,4.95468616255758,"CD8 T","G0_normal",0
-5.16959044918338,5.23542642363546,"DC","G0_normal",0
0.679961347729769,-3.98070287934305,"CD4 T","G2_liver_met",0
-1.93196294292727,6.48298501738546,"Macrophage","G2_liver_met",1.59878754615784
-3.28167555317203,5.03366756209372,"Macrophage","G2_liver_met",0
-9.1337060688428,9.48426389464377,"CD4 T","G1_primary_CRC",0
-10.4676131962232,-0.671101453218478,"Bcell","G2_liver_met",0
-2.07208881363193,0.779337046232205,"NK cell","G2_liver_met",0
-2.35168883785525,-13.0802159332371,"CD4 T","G2_liver_met",0
-1.58686534151355,-11.2981534027195,"CD4 T","G2_liver_met",0
4.03873302951535,4.18862914809225,"Bcell","G1_primary_CRC",0
8.93834974780759,-4.28058314553263,"CD4 T","G1_primary_CRC",0
4.73740961566648,5.58411645659445,"CD8 T","G2_liver_met",0
6.06769421115598,4.72026157149313,"CD4 T","G1_primary_CRC",0
0.907242918164339,10.4881672836208,"CD4 T","G0_normal",0
-4.39739201053897,-6.35632658234598,"Bcell","G1_primary_CRC",0
-11.3636445759229,0.546699462022763,"Bcell","G2_liver_met",0
-12.4919776676587,-0.510264264855403,"Bcell","G0_normal",0
-4.21127483829776,-6.38451719513895,"Bcell","G0_normal",0
-1.8667827604703,-1.79499829045298,"CD8 T","G0_normal",0
-4.33966729625979,4.09025716551779,"CD4 T","G1_primary_CRC",0
-3.734675383418,-2.23804521790506,"CD8 T","G0_normal",0
6.50987961307248,5.01893043288229,"CD4 T","G1_primary_CRC",0
1.18102386012754,10.9598097778225,"CD8 T","G0_normal",0
3.30383183971128,-3.93484688035013,"NK cell","G0_normal",2.31067967414856
2.41664578929624,-4.73763513794901,"MAST","G1_primary_CRC",0
6.29110720172605,6.50109767683981,"CD8 T","G2_liver_met",0
2.79213955417356,-5.30680036774637,"NK cell","G0_normal",0
-5.51221511349002,-3.90715503922464,"CD4 T","G2_liver_met",0
-2.28638658508578,1.28238570460318,"CD8 T","G0_normal",0
9.50839712634763,-6.03492927781107,"CD4 T","G2_liver_met",0
1.02030160442075,11.4748654342556,"CD4 T","G0_normal",0
-3.763399576991,5.18677425154684,"CD4 T","G1_primary_CRC",2.2226984500885
-4.04715893253604,4.43864822157858,"Macrophage","G2_liver_met",2.30158495903015
2.10694887653073,11.4617638564968,"NK cell","G0_normal",0
4.29282953754148,9.36004876860617,"NKT","G0_normal",0
4.58556368365964,5.5125656104946,"CD8 T","G0_normal",0
-8.93070790752688,2.24499988326071,"Bcell","G0_normal",0
2.9911341907092,-3.50748396149637,"NK cell","G0_normal",2.34967970848083
11.1639089824267,-3.3677952312565,"CD4 T","G0_normal",0
-10.579851126521,-0.792251171979922,"CD8 T","G1_primary_CRC",0
3.06581285014829,-3.39830923310282,"NK cell","G0_normal",2.44756746292114
-0.477582713811788,-17.2442889236546,"Bcell","G1_primary_CRC",0
1.37811901584348,-3.65273404351236,"CD4 T","G0_normal",0
-4.78743407711307,-6.41877508393289,"CD4 T","G1_primary_CRC",0
1.0005198957034,11.6828932739162,"CD45-","G1_primary_CRC",0
1.73702576175412,-0.39153998947503,"CD4 T","G2_liver_met",0
13.0388880015918,6.49822330245016,"NK cell","G0_normal",0
-0.969974076598081,6.07151126631735,"Macrophage","G0_normal",0
6.67425491824826,-16.1102185272312,"DC","G0_normal",1.80134010314941
