"gene","GSM254684","GSM254674","GSM254664","GSM254724","GSM254627","GSM254661","GSM254647","GSM254696","GSM254641","GSM254675","GSM254694","GSM254678","GSM254717","GSM254695","GSM254708","GSM254646","GSM254711","GSM254669","GSM254673","GSM254702","GSM254691","GSM254689","GSM254710","GSM254719"
"204561_x_at",8.298054085,8.565291105,7.806487847,7.819674074,8.402066783,9.04024405,8.426812936,8.721019262,8.302129495,7.979183136,7.917256707,8.06768219,8.429434214,8.343530104,8.534237474,7.840474436,9.560041631,8.937759261,8.463779532,8.939828628,9.744722821,7.714079886,8.240535108,9.173790857
"207355_at",6.937906858,6.670880554,6.987050696,6.698081769,7.16919755,7.796881236,6.763785428,6.818415135,7.653433193,6.776311313,9.06166689,6.825611591,6.907227447,7.005084217,6.810392922,6.710279816,7.054681643,6.864370771,6.41329834,6.518994907,6.796571915,6.631369792,6.780517235,6.655708633
"217550_at",6.934448451,7.269608465,7.015924674,8.005932042,6.622244296,6.836337685,6.406276673,7.268576908,7.669674072,8.079615978,7.137261782,7.00334613,6.974148054,7.590763424,6.638594667,6.421478,8.175128403,6.129323126,7.37895068,7.544625533,7.026202509,6.981282149,7.799636404,7.41828741
"213693_s_at",11.6101219,12.12646548,12.89965443,12.12284884,11.23479774,12.76136015,12.34892399,11.18990203,11.39704187,11.97508104,12.4264822,11.83611365,11.49619125,12.53360451,12.47937438,11.84813723,12.57600284,11.46961909,11.39877978,11.22979675,12.14247457,12.50526363,12.69904886,11.71300661
"202648_at",6.59523128,7.036025284,6.589134424,6.948649266,7.839808801,7.094027675,9.015034893,7.005806192,7.197608706,7.005942209,7.350664507,6.76475578,6.851856478,7.120358672,7.399795238,6.875988751,7.132734372,8.242646773,6.808183972,6.90494412,7.263284076,7.239433655,6.95797935,6.708758924
"212514_x_at",7.501422728,8.356333543,8.035898153,7.759006274,9.207799227,8.225989278,8.446061689,7.662616545,8.725765954,7.054726377,8.149449841,7.763629155,8.545940042,8.290356188,8.070451489,8.853940291,7.454750296,8.266019661,7.969232663,7.805605128,7.885269095,8.963815494,8.931853127,8.673159703
"207334_s_at",6.219743979,6.061256806,7.029207153,5.931436047,6.419308379,6.444527953,6.035069166,6.108919018,6.344709346,6.292663202,6.451883877,5.965141525,7.246811112,6.545980615,6.296711562,7.843086677,6.026359286,7.040070049,6.987778607,6.430833445,6.447137014,7.209442744,7.43056809,7.338762831
"218340_s_at",8.019332927,7.974512457,8.018910487,7.750654073,6.91013661,8.092170246,7.4357963,7.079371984,7.783998928,6.997915244,7.068300265,6.537639393,7.326037337,6.943879086,6.275217952,7.929331662,7.248166055,6.663846944,7.924396913,6.689954799,6.777749788,7.281977766,7.544625533,7.037152148
"206574_s_at",6.997840426,7.809371057,7.221317228,8.262402033,7.156205521,6.672307891,7.264356698,7.547134276,7.493414073,8.073386812,7.304313723,6.550683513,7.478209696,7.66691579,6.808489969,7.331893145,7.060481697,7.443907192,6.912085419,6.440703596,7.002670218,6.268131044,8.276000302,6.783210285
"205507_at",7.237159018,7.050438302,7.413718825,7.066320978,7.557649464,7.592299312,7.029185351,7.459790409,7.604736861,7.208717357,7.568771617,7.242610784,8.299722063,8.31946549,7.939918513,8.086717221,8.054514664,8.536284135,8.381605096,8.891841095,8.258112226,7.512889356,7.951517438,8.44141022
