"gene","log2FC","pvalue","padj","pct.1","pct.2"
"CT010467.1",-2.78912063366154,2.64880555820451e-102,7.08820367375527e-98,0.566,0.672
"Fcgr2b",0.896578928187931,4.00841003542122e-102,1.07265052547872e-97,0.736,0.452
"Flt1",-1.56875449836641,4.05689569358596e-102,1.0856252876036e-97,0.119,0.35
"Cdkn1c",-2.27604894735636,4.64752012530327e-102,1.24367638553116e-97,0.197,0.413
"Qk",-0.809646271761728,5.27146678124803e-102,1.41064451066197e-97,0.774,0.863
"Plcb4",-1.76737931791847,9.31714798966825e-102,2.49326880203522e-97,0.106,0.335
"Hspb1",-1.40485582955223,1.07074232245896e-101,2.86530645490017e-97,0.209,0.453
"Mcc",-2.61906938199502,2.03975565558117e-101,5.4583861343352e-97,0.063,0.258
"Atox1",0.691572505241879,2.47741155159653e-101,6.62955331207232e-97,0.842,0.744
"Lamc1",-2.68005608177369,2.74012797029278e-101,7.33258244850349e-97,0.171,0.402
"Gda",1.46683129083776,4.60224576925092e-101,1.23156096785155e-96,0.539,0.289
"Fpr2",3.96555970929399,8.9218998376007e-101,2.38750039654195e-96,0.179,0.02
"Epas1",-1.40680308725976,2.16116230083322e-100,5.78327031702969e-96,0.131,0.373
"C4b",2.17832070757527,4.49099010310965e-100,1.20178895159214e-95,0.422,0.188
"Nsd1",-0.896871710027984,2.23074404136301e-99,5.96947105468742e-95,0.576,0.71
"Serf2",0.585956278551181,3.01168107139638e-99,8.0592585470567e-95,0.865,0.773
"Slfn2",0.843437076244514,3.06473887843814e-99,8.20124123870045e-95,0.731,0.488
"Cfl1",0.515944082974968,5.36497251190792e-99,1.43566664418656e-94,0.927,0.897
"Tsc22d1",-0.967950609935316,7.68283056672251e-99,2.05592545965494e-94,0.272,0.522
"Nfia",-1.92268493310992,1.06696572588376e-98,2.85520028246495e-94,0.251,0.46
"Apoe",0.78436884968379,1.46168929520895e-98,3.91148055397914e-94,0.991,0.887
"Emcn",-2.05237675381846,1.52356062471384e-98,4.07704823173424e-94,0.089,0.288
"Sept4",-2.55082296342282,1.83147205659918e-98,4.9010192234594e-94,0.064,0.244
"Gm34084",1.66328390712048,9.04708984392214e-98,2.42100124223356e-93,0.401,0.184
"Rps28",0.525140454299351,9.92202634366386e-98,2.65513424956445e-93,0.94,0.918
"Tspo",0.833990464536053,1.18806541648104e-97,3.17926305450327e-93,0.849,0.752
"Ndufa3",0.84077101301964,2.65896662109902e-97,7.11539467806097e-93,0.696,0.493
"Tmsb4x",0.404670744661076,2.74858884189139e-97,7.35522374090136e-93,0.999,0.997
"Clec4d",2.42611647688039,6.75591343686645e-97,1.80788243570546e-92,0.198,0.033
"Siglece",1.75049325007758,9.82408698039166e-97,2.62892567595281e-92,0.434,0.206
"Ccl9",0.879611918051938,4.80026408144123e-96,1.28455066819367e-91,0.696,0.408
"Cox5a",0.772586646128415,9.67779193560802e-96,2.58977712196871e-91,0.804,0.673
"Aplp2",-0.913795252630584,2.40841212244882e-95,6.44491083967304e-91,0.764,0.858
"Ccdc80",-2.55541971054147,3.17980979845359e-95,8.50917102066181e-91,0.054,0.225
"Fstl1",-3.23544183792085,3.3517405318101e-95,8.96925766312382e-91,0.041,0.21
"Lair1",1.17912850031822,4.3856417248637e-95,1.17359772557353e-90,0.574,0.317
"Sfpq",-0.82357111711769,8.91545802110748e-95,2.38577656644836e-90,0.672,0.787
"Gpsm3",1.02408355624516,1.12003524583338e-94,2.99721431785013e-90,0.633,0.417
"Nxpe5",3.09099664056004,1.3502060045981e-94,3.61315126830453e-90,0.204,0.041
"Tpd52",0.912307434886682,1.39779142263894e-94,3.74048984698179e-90,0.711,0.453
"Igf2r",-2.62431645446427,1.77415377229235e-94,4.74763549465432e-90,0.062,0.242
"Ntpcr",1.26324215662033,2.0019158193571e-94,5.3571267325996e-90,0.528,0.309
"Adamts1",-2.21428715096648,2.32169333166052e-94,6.21285135552354e-90,0.072,0.255
"Atp5mpl",0.823046790380447,3.08866643466555e-94,8.26527137916502e-90,0.704,0.522
"Rock2",-0.833863691849516,3.30766893988884e-94,8.85132208314252e-90,0.642,0.748
"Hcls1",0.889596769914101,3.53089675844266e-94,9.44867972559255e-90,0.668,0.427
"Id3",-1.50581254515993,4.47157821408608e-94,1.19659433008944e-89,0.236,0.472
"Fzd4",-2.13612543868164,6.62088636629416e-94,1.77174919162032e-89,0.091,0.297
"Plxnd1",-1.81937509565076,6.96467869938216e-94,1.86374801995467e-89,0.236,0.454
"Ly6c1",-0.965924116230875,7.76199219372603e-94,2.07710911104109e-89,0.152,0.393
"Itpkb",-1.79690312475229,1.21576332215147e-93,3.25338265007733e-89,0.352,0.559
"Sema6a",-2.58587288173052,1.35754705954915e-93,3.63279593135353e-89,0.064,0.255
"Cyyr1",-1.55384336094782,2.21154857472742e-93,5.91810398597057e-89,0.102,0.313
"Nckap1",-2.28425883560618,2.93842659879361e-93,7.86322957837169e-89,0.068,0.258
"Plek",0.975540551199643,6.11102824101222e-93,1.63531115729487e-88,0.61,0.356
"Kmt2e",-0.805572679204001,8.50932438003114e-93,2.27709520409633e-88,0.69,0.798
"Ushbp1",-2.24086231895733,8.69935569091315e-93,2.32794758288836e-88,0.085,0.282
"Klf4",-0.989119272140192,1.078669688461e-92,2.88652008632164e-88,0.683,0.784
"Adgrl4",-1.7061700547097,1.53073127669603e-92,4.09623689643858e-88,0.1,0.317
"Col15a1",-4.03600335463624,2.13620397860075e-92,5.71648184673562e-88,0.039,0.218
"Hspa1b",-2.12530768343202,3.98440408054076e-92,1.06622653195271e-87,0.153,0.361
"Ehd4",0.800153497524837,4.33632177402337e-92,1.16039970672865e-87,0.768,0.559
"Slc43a3",-1.40351711278852,5.87707865533837e-92,1.57270624816855e-87,0.133,0.35
"Dock9",-2.17071651270268,1.26857618778631e-91,3.39470987851616e-87,0.076,0.254
"Lars2",-1.34327903664541,1.58222389218692e-91,4.2340311354922e-87,0.507,0.655
"Kcnq1ot1",-1.47606032873516,1.7346730978118e-91,4.64198520974438e-87,0.334,0.522
"Slamf9",1.26808779905891,1.74943734670504e-91,4.68149433978269e-87,0.581,0.343
"Syne1",-1.69837177765442,2.91515910128259e-91,7.80096575503222e-87,0.306,0.527
"Ralgapa1",-1.65618687139946,3.12944807938228e-91,8.37440306042697e-87,0.216,0.423
"Rhob",-0.865365676062654,3.79066456594705e-91,1.01438183784743e-86,0.666,0.78
"Igsf6",1.06946957573517,3.94550402109856e-91,1.05581687604597e-86,0.573,0.328
"Amotl1",-2.41720774318902,4.43168727365909e-91,1.18591951443117e-86,0.065,0.256
"Hnrnpa2b1",-0.564486400156097,4.75007549552651e-91,1.27112020260289e-86,0.867,0.913
"Lamb1",-2.84660659531822,9.36822881110454e-91,2.50693802985158e-86,0.063,0.248
"Rps11",0.414047873341411,3.22482587799597e-90,8.62963404951722e-86,0.966,0.966
"Limch1",-2.87152214462833,7.47941269314137e-90,2.00149083668463e-85,0.043,0.201
"Fcgr1",1.22063050362213,8.06876402168891e-90,2.15920125220395e-85,0.564,0.322
"Gng2",0.876865460336447,1.12607102663618e-89,3.01336606727842e-85,0.619,0.394
"Cavin3",-1.78000556103669,1.50733108715334e-89,4.03361798922235e-85,0.097,0.305
"Pls3",-1.911353250246,1.57156516881345e-89,4.2055083917448e-85,0.153,0.351
"Cox7c",0.5409940585664,2.86008408016769e-89,7.65358499852875e-85,0.853,0.771
"Gimap6",-1.38548392695573,3.84010163239837e-89,1.0276111968298e-84,0.187,0.424
"Lcp2",1.13057881035985,1.29087590766692e-88,3.45438392891666e-84,0.471,0.264
"Ttc3",-1.2725789281788,1.3638585488074e-88,3.6496854766086e-84,0.318,0.53
"Ptpn1",0.955847387120278,1.40379554107006e-88,3.75655686790348e-84,0.698,0.496
