gene,log2FC,AveExpr,t,pvalue,padj,B
OSMR,1.29121315982405,6.80581347554631,8.0561406994677,2.93797740522279e-09,2.18554592870626e-06,11.1810022116039
GPAM,-1.21957883431084,4.2052951508845,-7.95864232257742,3.8369591078448305e-09,2.71157900151394e-06,10.9268942167521
STAT3,1.19788170601174,9.23604743496358,7.9182405477351,4.287221452863521e-09,2.75434490976241e-06,10.8212261727519
SMCO1,-2.71405816422286,5.41784018730489,-7.81544785825697,5.69063949134234e-09,3.09351917579356e-06,10.5514143641453
ADAMTS9,2.29367976392963,6.90465055150884,7.76945009932793,6.4620419518651404e-09,3.2619464624165e-06,10.430234946893
TCEAL9,1.19610944428153,7.04953876170656,7.66950148697474,8.5251356890393e-09,3.88913349959351e-06,10.1659921343642
HIVEP2,1.3100571664223,6.71122685223725,7.66929579306011,8.530008383146941e-09,3.88913349959351e-06,10.1654470197799
DHRS7C,-2.35348158577712,4.26111674817898,-7.51710967460021,1.30354233423244e-08,5.5831113188004e-06,9.76069239007084
HECW2,-1.07886776612903,4.67796111862643,-7.33361345731497,2.18110384732168e-08,8.56325604945684e-06,9.26893180344187
ETS2,1.36447667448681,7.74988621227888,7.28538563698677,2.49857941882607e-08,9.28523908042505e-06,9.13902801142406
RIPK2,1.22755796041056,5.5865874817898,7.27648825856919,2.56207955381758e-08,9.28523908042505e-06,9.11503336924465
ASB2,-1.46196879032257,5.12635658688866,-7.24120256411777,2.83043819483897e-08,1.00013533614635e-05,9.01978553950398
SNORD5,1.34349098680352,6.64604098855359,7.15592965592819,3.60272455168738e-08,1.23650641838777e-05,8.78902914573318
TGIF1,1.29904477584312,5.46486864203954,7.1489832049663,3.67435047207346e-08,1.23650641838777e-05,8.77019597888988
SMYD1,-1.71315166422286,7.02126728407908,-6.90896562929123,7.27539705405675e-08,2.28512137693418e-05,8.11631070884918
GADD45B,2.10179424926687,6.77488523413111,6.88425035080617,7.80803674672954e-08,2.36359008866094e-05,8.04864261893197
MAMDC2,-1.15154794574779,4.35028396462019,-6.8789613474241,7.92704939724895e-08,2.36359008866094e-05,8.03415399363713
PPP2R3A,-1.06773822214075,6.80684352237253,-6.80485636525368,9.80114593275846e-08,2.7162626786982e-05,7.83086594012
SNORA61,1.34106281744869,5.44948249219563,6.69193865981373,1.35556056624095e-07,3.20510650158939e-05,7.52011093313165
CEMIP2,1.4357958797654,5.04290452653486,6.6480171492032,1.53825903849197e-07,3.3646392398773e-05,7.3989254725714
AIF1L,-1.02091425733137,5.22694347034339,-6.64473978507935,1.55285036708502e-07,3.3646392398773e-05,7.38987599460953
USP2,-1.059548664956,6.29123913111342,-6.63371162254865,1.60298388489033e-07,3.3646392398773e-05,7.35941812771409
ANGPT2,2.14271549706746,5.47388787200832,6.63069670248928,1.61697192358036e-07,3.3646392398773e-05,7.35108961453146
MIR145,-1.47587906085043,3.65854943288241,-6.57509024023694,1.89825186100508e-07,3.72637386158969e-05,7.19734176305869
STC1,2.00298886290323,6.36280507284079,6.45386183452494,2.69503376617109e-07,4.5893502712123e-05,6.86127670600539
TSPAN12,-1.13047153005864,6.39902024453694,-6.4395040082241,2.80946127201485e-07,4.72725304984022e-05,6.8213982913908
CP,1.58074534017596,3.67277523413111,6.38351533277257,3.30449557878835e-07,5.18952672339939e-05,6.66574477642011
SOCS3,1.34772090762464,4.00505546826223,6.36980443717189,3.43858602211668e-07,5.28271465615186e-05,6.62759247410672
