gene,GSM2109150,GSM2109151,GSM2109152,GSM2109153,GSM2109154,GSM2109155,GSM2109156,GSM2109157,GSM2109158,GSM2109159,GSM2109160,GSM2109161,GSM2109162,GSM2109163,GSM2109164,GSM2109165,GSM2109166,GSM2109167,GSM2109168,GSM2109169,GSM2109170,GSM2109171,GSM2109172,GSM2109173,GSM2109174,GSM2109175,GSM2109176,GSM2109177,GSM2109178,GSM2109179,GSM2109180
AADACL3,1.9173286338593003,1.7226802269231316,1.8228321015886662,1.7736545937106465,1.736951167143662,1.9249397876272296,1.8621022059605103,1.8804112598097813,1.8563164586251786,1.9037285926620515,1.7851403872344835,1.8045575052905272,1.789604066331577,1.7178288403721385,1.864045459548968,1.752924101492572,1.861883922181406,1.867975513609994,1.8200645636534214,1.8135082716221378,1.8444418973268952,1.8294396220051097,1.8163252714416354,1.8124776886031826,1.8352611713162532,1.7299007589478752,1.761089496149647,1.8047433427001034,1.7744602752240657,1.7963942507582904,1.8439798253935906
AADACL4,1.782966243291374,1.7127058216385624,1.7847468545385434,1.6996626731266375,1.750443576136462,1.6880818624678597,1.6685594017997496,1.6389635144421222,1.752067752705545,1.8926047426815729,1.7666248421448618,1.8110311675576425,1.8660692111340185,1.754374452712511,1.7927804052188638,1.7202521943712386,1.7826308234955892,1.7415575901978686,1.7379679189520925,1.740292937074832,1.7932883040851122,1.761289529092926,1.7927512580559473,1.8809244855039162,1.7535831438461706,1.7165344258973612,1.7621276634194252,1.798585592121702,1.6557364960034182,1.6973023316866522,1.7095200368788754
AADAT,2.057866124327988,2.045177333848328,2.0876902599548406,2.0552095395943693,2.1208860500901605,1.9731557123584973,2.057699797854239,1.9865420006459393,2.1530984044368875,2.0489650229508674,2.0365842138263206,2.059171813847083,2.127824745995834,2.0937156597514255,2.097098346638759,2.0509439284424045,2.061112578041274,2.0557821939501695,2.039749040657798,2.047573286624803,2.058209112131683,1.9597924074055262,2.076203336989271,2.040075314857101,2.031465776498189,1.9662938699582846,2.113450472583549,2.088165347532609,2.0091106454875303,2.066330337234991,2.0611575202504064
AAED1,2.5105974029051477,2.547087012108077,2.435927235680973,2.576321380133353,2.643893122295037,2.3996441655233447,2.520223589257685,2.6257707863116004,2.3873625408359955,2.4276061727818994,2.4820738202919417,2.5533654188126125,2.648076530225849,2.536361305524044,2.594909178233869,2.590875036241887,2.388983007877126,2.3903842908523507,2.4068141895207873,2.630796847278171,2.5393375080714486,2.670881115001734,2.532738359255583,2.5440228781465066,2.6426877108054847,2.3571240589172127,2.61418684598398,2.6480166881806806,2.6503647761235243,2.856573432302363,2.623962819882482
AAGAB,2.2122642707539977,2.2569472348139965,2.215184672429857,2.1522872763770056,2.217841793072786,2.1727819130299575,2.1593773057030545,2.1857397094027826,2.0942698562192494,2.2949882676914464,2.1351802265751796,2.3832757397635045,2.404973947580063,2.29525870172952,2.5025470152019493,2.479189163337185,2.430745577176254,2.5126061605048955,2.4555757863434544,2.400934069852808,2.30362295619195,2.3358090774749134,2.473259601770065,2.3716201932714163,2.4736414660791137,2.317775819658122,2.2636864768327505,2.2869934844217386,2.334353743205321,2.6149241714573606,2.3753703441590814
AAK1,3.011057253433626,3.1103298317868484,3.084316884431294,3.062853065474348,3.049046078987428,3.1491674867063253,3.0294369833657466,3.0635236506987904,3.053657023899697,3.045998552993601,3.020452418714538,2.955151895656634,3.089419336046032,3.0984397709861824,3.0988035605384625,3.045958376549969,3.054631448782967,3.1195744739846867,3.0588558899483265,3.014236551431984,3.0749788928297144,3.028184559062267,3.024442912999528,3.0450820771204627,3.082600411842272,3.1488544044026927,3.1283247492577244,3.101755114721693,3.1508764498284347,2.941168300417174,3.0778197906968865
AAMDC,3.105418275540187,3.1406870531896103,3.0582801246691482,3.0961623185124316,3.161279849287511,3.185019704343759,3.1513068250995713,3.0491672187678502,3.141900315781122,3.183121228967912,3.204819951009266,3.1937323249608824,3.1923993480172115,3.068287302015245,3.0814129194072724,3.033534007694308,3.011751451214817,3.0579544774683476,3.087444170958414,3.1267449400005782,3.1376264754743013,3.1311169588970125,2.9205162622675984,3.028441849959158,3.1115054536702695,3.044747317815024,3.159869722573245,2.9927448689740954,3.0369885462627058,3.158503457519042,3.173161021333414
AAMP,2.5415594428775585,2.4564092878177513,2.461151334986249,2.5101466928440757,2.449125529046524,2.477602212223534,2.4458299762809617,2.47013334861929,2.4438983434094053,2.4432141001591323,2.4301112825650537,2.5027048492716144,2.545306158464929,2.392361389957653,2.394821415896335,2.429907821006928,2.450794236401553,2.5065917873369408,2.331943066752924,2.518955549050754,2.4237986592456635,2.4947535224544124,2.405172785024948,2.409233419186273,2.4365882936601175,2.472812666192388,2.4734128791798273,2.425096705534169,2.479815179251285,2.5705382212268484,2.46307048642002
AANAT,2.004551728380041,1.8767192780296937,1.9192447260163927,1.8305839096319851,1.8331248759235215,2.0402857751877304,1.9784885329495114,1.8876305446467863,1.9834478665631632,1.8629036194699715,1.9439475741777086,1.8971590901388562,1.8834214056293728,1.984064307049002,1.9170421464817804,1.7715306699056808,1.8651190746909005,1.910360429261887,1.8658871501160386,1.7691835413221242,1.8670345421358028,1.8553718364825977,1.8694174088154152,1.8837029185452734,1.8707276905175554,1.8935990806781637,1.8036982123062701,1.8493708199168446,1.8047474721484378,1.8588403863656218,1.8541153679383298
AAR2,2.5898880997793965,2.508421046035315,2.5166606842551706,2.497022138561576,2.467339482803415,2.52027388532958,2.5231102590792576,2.5224575581152084,2.5413091503079883,2.480877749533804,2.5365677012656005,2.557564485691183,2.6059944256977046,2.5347563797048824,2.5115135813678675,2.5892889012629534,2.6578069000516287,2.5897946411926682,2.6362046554202903,2.591890013978792,2.5459090790496988,2.523868025840303,2.609809322199973,2.639665138356017,2.572394945306324,2.5794022326789148,2.570827201963689,2.5985795925536537,2.502651391278593,2.6455356630229088,2.547703993530093
