"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.08296221623821e-30,3.78958261389786,0.109,0.009,3.54540170352065e-26,"0","EPHX2"
1.791661500671e-30,-1.76658702529716,0.105,0.283,5.86554142089673e-26,"0","BID"
2.49333172616916e-30,-3.70308791674403,0.013,0.135,8.16266940513261e-26,"0","BTK"
3.2571183735713e-30,-6.7756496821444,0.001,0.106,1.06631541313977e-25,"0","VSTM1"
5.24087166604015e-30,-2.99516938154923,0.023,0.153,1.71575656602822e-25,"0","VCAN"
1.43450023960089e-29,-2.34488708440389,0.045,0.189,4.6962668844054e-25,"0","CD300A"
1.48789476493774e-29,-1.83691062563383,0.081,0.246,4.87106988145317e-25,"0","LGALS9"
1.75459832931467e-29,-1.26073558950303,0.166,0.358,5.74420401051035e-25,"0","VASP"
2.45131363940644e-29,2.12038394097987,0.172,0.041,8.02511059268879e-25,"0","SH3YL1"
4.97166515982421e-29,-2.81541297834686,0.026,0.156,1.62762374002325e-24,"0","LILRB2"
4.97764549166474e-29,1.88171293417533,0.185,0.05,1.6295815810612e-24,"0","CD6"
5.18335534677624e-29,-1.1097907645589,0.192,0.378,1.6969268734276e-24,"0","PGLS"
8.10146613302274e-29,1.86463126358862,0.215,0.069,2.65225798262898e-24,"0","TTC39C"
9.79016230847585e-29,-1.18253588705519,0.286,0.471,3.20510333654882e-24,"0","RHOG"
1.02584896884958e-28,-2.01926989555971,0.092,0.257,3.35842435421977e-24,"0","BLVRA"
1.03021615349627e-28,1.58113381584799,0.231,0.078,3.37272164331609e-24,"0","AAK1"
1.13591557354698e-28,-3.77571486859511,0.013,0.127,3.71876040467809e-24,"0","HHEX"
1.18845046114206e-28,-1.75182367527146,0.082,0.246,3.89074911968688e-24,"0","ATP6V0D1"
1.31379932870515e-28,-4.69945410136237,0.005,0.11,4.30111624231493e-24,"0","TMEM176B"
1.97209246385748e-28,2.61810519590865,0.136,0.024,6.4562363081766e-24,"0","CD5"
2.46511248141838e-28,-1.40942921102747,0.137,0.315,8.0702852416675e-24,"0","MYO1F"
2.50391744415751e-28,-2.25314815484152,0.08,0.232,8.19732492868286e-24,"0","NCF1"
2.65899235932544e-28,-3.6625919573989,0.011,0.123,8.70500918595961e-24,"0","BST1"
3.5401809596534e-28,-3.60495267872395,0.009,0.119,1.15898444257133e-23,"0","CSF1R"
3.75471012355273e-28,3.03879580932519,0.123,0.019,1.22921700024869e-23,"0","NELL2"
5.89729016976668e-28,-4.3173465572718,0.006,0.11,1.93065485577822e-23,"0","GPBAR1"
6.06495266230878e-28,3.16062523728338,0.113,0.014,1.98554420258665e-23,"0","TNFRSF4"
7.14094656191465e-28,-2.99107942529536,0.026,0.151,2.33780308543962e-23,"0","SNX10"
1.48797911363161e-27,-2.34263227424246,0.05,0.19,4.87134602220717e-23,"0","RHOB"
1.63292989222217e-27,-3.56670242718686,0.013,0.125,5.34588588115694e-23,"0","MARCH1"
1.76065235692626e-27,-2.12617337421932,0.047,0.187,5.76402368610518e-23,"0","AOAH"
1.84474841657728e-27,-4.48229537999328,0.006,0.108,6.0393373661907e-23,"0","GAPT"
2.26279676636621e-27,-3.85003859959859,0.011,0.119,7.4079440537297e-23,"0","MEF2C"
3.14008160546747e-27,-1.6869108431958,0.076,0.228,1.02799991599794e-22,"0","HSBP1"
3.68259240833093e-27,-2.53747165199742,0.035,0.165,1.20560710263938e-22,"0","MSRB1"
3.87765174936431e-27,-6.72785354023933,0.002,0.097,1.26946562970689e-22,"0","S100A12"
3.90639688036619e-27,-5.80632975400901,0.003,0.101,1.27887621069428e-22,"0","FOLR3"
5.59112414027308e-27,-2.42286127734628,0.047,0.182,1.8304222210426e-22,"0","STX7"
6.13912400082105e-27,-2.54081008713794,0.033,0.159,2.0098264153888e-22,"0","YBX3"
8.14888083649981e-27,-1.34098992329054,0.187,0.368,2.66778060825331e-22,"0","SUPT4H1"
9.96667114761199e-27,-4.85664316936526,0.005,0.104,3.26288880030521e-22,"0","LILRA3"
1.12531416125784e-26,-3.54159896248761,0.016,0.127,3.68405350112591e-22,"0","IL1B"
