herb,herb_zh,compound_id,target_gene
Danshen,丹参,"(6S,7R)-6,7-dihydroxy-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",Nuclear
Danshen,丹参,przewaquinone f,Prothrombin
Danshen,丹参,przewaquinone f,Prostaglandin
Danshen,丹参,przewaquinone f,Dipeptidyl
Danshen,丹参,przewaquinone f,Trypsin-1
Danshen,丹参,przewaquinone f,Nuclear
Danshen,丹参,sclareol,Prostaglandin
Danshen,丹参,tanshinaldehyde,D(1A)
Danshen,丹参,tanshinaldehyde,Prothrombin
Danshen,丹参,tanshinaldehyde,Muscarinic
Danshen,丹参,tanshinaldehyde,Prostaglandin
Danshen,丹参,tanshinaldehyde,Delta-type
Danshen,丹参,tanshinaldehyde,Acetylcholinesterase
Danshen,丹参,tanshinaldehyde,Beta-2
Danshen,丹参,tanshinaldehyde,Mu-type
Danshen,丹参,tanshinaldehyde,Dipeptidyl
Danshen,丹参,tanshinaldehyde,Neuronal
Danshen,丹参,tanshinaldehyde,Trypsin-1
Danshen,丹参,tanshinaldehyde,Nuclear
Danshen,丹参,Danshenol B,Prostaglandin
Danshen,丹参,Danshenol B,Carbonic
Danshen,丹参,Danshenol B,Progesterone
Danshen,丹参,Danshenol B,DNA
Danshen,丹参,Danshenol B,Mu-type
Danshen,丹参,Danshenol B,Glucocorticoid
Danshen,丹参,Danshenol B,Heat
Danshen,丹参,Danshenol B,Nuclear
Danshen,丹参,Danshenol A,Prostaglandin
Danshen,丹参,Danshenol A,Potassium
Danshen,丹参,Danshenol A,Sodium
Danshen,丹参,Danshenol A,Coagulation
Danshen,丹参,Danshenol A,Retinoic
Danshen,丹参,Danshenol A,"Phosphatidylinositol-4,5-bisphosphate"
Danshen,丹参,Danshenol A,Nuclear
Danshen,丹参,Danshenol A,Calcium-activated
Danshen,丹参,Salvilenone,Prostaglandin
Danshen,丹参,Salvilenone,Estrogen
Danshen,丹参,Salvilenone,Androgen
Danshen,丹参,Salvilenone,Muscarinic
Danshen,丹参,Salvilenone,Proto-oncogene
Danshen,丹参,cryptotanshinone,Prostaglandin
Danshen,丹参,cryptotanshinone,D(1A)
Danshen,丹参,cryptotanshinone,Muscarinic
Danshen,丹参,cryptotanshinone,Sodium
Danshen,丹参,cryptotanshinone,Carbonic
Danshen,丹参,cryptotanshinone,Delta-type
Danshen,丹参,cryptotanshinone,Alpha-1A
Danshen,丹参,cryptotanshinone,Progesterone
Danshen,丹参,cryptotanshinone,Alpha-1B
Danshen,丹参,cryptotanshinone,Beta-2
Danshen,丹参,cryptotanshinone,Tumor
Danshen,丹参,cryptotanshinone,Alpha-1D
Danshen,丹参,cryptotanshinone,DNA
Danshen,丹参,cryptotanshinone,Mu-type
Danshen,丹参,cryptotanshinone,Gamma-aminobutyric-acid
Danshen,丹参,cryptotanshinone,Neuronal
Danshen,丹参,cryptotanshinone,Amyloid
Danshen,丹参,cryptotanshinone,Nuclear
Danshen,丹参,cryptotanshinone,Baculoviral
Danshen,丹参,cryptotanshinone,Bcl-2-like
Danshen,丹参,cryptotanshinone,Endothelin-1
Danshen,丹参,cryptotanshinone,G1/S-specific
Danshen,丹参,cryptotanshinone,Signal
Danshen,丹参,cryptotanshinone,Transcription
Danshen,丹参,dan-shexinkum d,Cell
Danshen,丹参,dan-shexinkum d,Serine/threonine-protein
Danshen,丹参,dan-shexinkum d,Ig
Danshen,丹参,dan-shexinkum d,Trypsin-1
Danshen,丹参,dan-shexinkum d,Proto-oncogene
Danshen,丹参,dan-shexinkum d,Cyclin-A2
Danshen,丹参,dan-shexinkum d,Nuclear
Danshen,丹参,dan-shexinkum d,Calmodulin
Danshen,丹参,danshenspiroketallactone,Mu-type
Danshen,丹参,danshenspiroketallactone,Gamma-aminobutyric-acid
Danshen,丹参,danshenspiroketallactone,Dipeptidyl
Danshen,丹参,danshenspiroketallactone,Heat
Danshen,丹参,danshenspiroketallactone,Neuronal
Danshen,丹参,deoxyneocryptotanshinone,Mu-type
Danshen,丹参,deoxyneocryptotanshinone,Glycogen
Danshen,丹参,deoxyneocryptotanshinone,Cell
Danshen,丹参,deoxyneocryptotanshinone,Neuronal
Danshen,丹参,deoxyneocryptotanshinone,Ig
Danshen,丹参,deoxyneocryptotanshinone,Proto-oncogene
Danshen,丹参,deoxyneocryptotanshinone,Nuclear
