herb_zh,gene,herb_en
黄芪,IL36B,Huangqi
黄芪,IL4,Huangqi
黄芪,INSR,Huangqi
黄芪,IRF3,Huangqi
黄芪,JUN,Huangqi
黄芪,KCNC2,Huangqi
黄芪,KCNU1,Huangqi
黄芪,LACTB,Huangqi
黄芪,LYZ,Huangqi
黄芪,MAP3K7,Huangqi
黄芪,MAPK14,Huangqi
黄芪,MGAM,Huangqi
黄芪,MMP1,Huangqi
黄芪,MMP2,Huangqi
黄芪,MMP3,Huangqi
黄芪,MMP9,Huangqi
黄芪,MPO,Huangqi
黄芪,MT-ND1,Huangqi
黄芪,MYC,Huangqi
黄芪,NAIP,Huangqi
黄芪,NCF2,Huangqi
黄芪,NCOA7,Huangqi
黄芪,NFE2L2,Huangqi
黄芪,NFKB1,Huangqi
黄芪,NFKBIE,Huangqi
黄芪,NKX3-1,Huangqi
黄芪,NOS2,Huangqi
黄芪,NOS3,Huangqi
黄芪,NPEPPS,Huangqi
黄芪,NR1I2,Huangqi
黄芪,ODC1,Huangqi
黄芪,OLR1,Huangqi
黄芪,OPRD1,Huangqi
黄芪,PARG,Huangqi
黄芪,PCOLCE,Huangqi
黄芪,PDE3A,Huangqi
黄芪,PGR,Huangqi
黄芪,PI3,Huangqi
黄芪,PIK3CG,Huangqi
黄芪,PIM1,Huangqi
黄芪,PKIA,Huangqi
黄芪,PLAT,Huangqi
黄芪,PLAU,Huangqi
黄芪,PNRC2,Huangqi
黄芪,PON2,Huangqi
黄芪,PPARA,Huangqi
黄芪,PPARD,Huangqi
黄芪,PPARG,Huangqi
黄芪,PPP3CA,Huangqi
黄芪,PRKACA,Huangqi
黄芪,PRKCB,Huangqi
黄芪,PRSS1,Huangqi
黄芪,PSMD11,Huangqi
黄芪,PTEN,Huangqi
黄芪,PTGER3,Huangqi
黄芪,PTGS1,Huangqi
黄芪,PTGS2,Huangqi
黄芪,PTPN22,Huangqi
黄芪,PYGM,Huangqi
黄芪,RAF1,Huangqi
黄芪,RASA1,Huangqi
黄芪,RASSF1,Huangqi
黄芪,RBL1,Huangqi
黄芪,RELA,Huangqi
黄芪,RUNX1T1,Huangqi
黄芪,RUNX2,Huangqi
黄芪,RXRA,Huangqi
黄芪,SCNN1A,Huangqi
黄芪,SELE,Huangqi
黄芪,SERPINE1,Huangqi
黄芪,SIRT1,Huangqi
黄芪,SLC2A2,Huangqi
黄芪,SLC6A3,Huangqi
黄芪,SLC6A4,Huangqi
黄芪,SOD1,Huangqi
黄芪,SPP1,Huangqi
黄芪,STAT4,Huangqi
黄芪,TGFB1,Huangqi
黄芪,THBD,Huangqi
黄芪,TNF,Huangqi
