gene,name,score,source
HPS1,HPS1 Biogenesis Of Lysosomal Organelles Complex 3 Subunit 1,43.489563,GeneCards
HPS4,HPS4 Biogenesis Of Lysosomal Organelles Complex 3 Subunit 2,43.489563,GeneCards
HPS5,HPS5 Biogenesis Of Lysosomal Organelles Complex 2 Subunit 2,43.489563,GeneCards
VEGFC,Vascular Endothelial Growth Factor C,43.42613,GeneCards
ABCG2,ATP Binding Cassette Subfamily G Member 2 (JR Blood Group),43.366806,GeneCards
MIR122,MicroRNA 122,43.33877,GeneCards
AKT1,AKT Serine/Threonine Kinase 1,43.305794,GeneCards
TNFRSF11A,TNF Receptor Superfamily Member 11a,43.18045,GeneCards
PIK3CG,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma",43.175148,GeneCards
NPC1,NPC Intracellular Cholesterol Transporter 1,42.973835,GeneCards
APP,Amyloid Beta Precursor Protein,42.812916,GeneCards
AHR,Aryl Hydrocarbon Receptor,42.80992,GeneCards
ELANE,"Elastase, Neutrophil Expressed",42.792656,GeneCards
TP53I3,Tumor Protein P53 Inducible Protein 3,42.68713,GeneCards
CFH,Complement Factor H,42.685184,GeneCards
MMP1,Matrix Metallopeptidase 1,42.607807,GeneCards
GLB1,Galactosidase Beta 1,42.58161,GeneCards
PDCD1,Programmed Cell Death 1,42.58107,GeneCards
TET2,Tet Methylcytosine Dioxygenase 2,42.54186,GeneCards
PLIN1,Perilipin 1,42.484035,GeneCards
PDGFRB,Platelet Derived Growth Factor Receptor Beta,42.434982,GeneCards
MECP2,Methyl-CpG Binding Protein 2,42.408684,GeneCards
LPAL2,Lipoprotein(A) Like 2 (Pseudogene),42.385838,GeneCards
CXCL10,C-X-C Motif Chemokine Ligand 10,42.36913,GeneCards
ABL1,"ABL Proto-Oncogene 1, Non-Receptor Tyrosine Kinase",42.356537,GeneCards
HPS6,HPS6 Biogenesis Of Lysosomal Organelles Complex 2 Subunit 3,42.316414,GeneCards
GCK,Glucokinase,42.188244,GeneCards
MAP1LC3A,Microtubule Associated Protein 1 Light Chain 3 Alpha,42.115627,GeneCards
PTGIS,Prostaglandin I2 Synthase,42.102207,GeneCards
SCD,Stearoyl-CoA Desaturase,42.081234,GeneCards
MTTP,Microsomal Triglyceride Transfer Protein,42.044624,GeneCards
CXCL8,C-X-C Motif Chemokine Ligand 8,42.042114,GeneCards
WAS,WASP Actin Nucleation Promoting Factor,41.899242,GeneCards
REN,Renin,41.84801,GeneCards
CHEK1,Checkpoint Kinase 1,41.83511,GeneCards
COL5A1,Collagen Type V Alpha 1 Chain,41.731518,GeneCards
POSTN,Periostin,41.73006,GeneCards
NINJ1,Ninjurin 1,41.683758,GeneCards
LGALS2,Galectin 2,41.666214,GeneCards
CAT,Catalase,41.64274,GeneCards
CYP1A1,Cytochrome P450 Family 1 Subfamily A Member 1,41.563976,GeneCards
LTA,Lymphotoxin Alpha,41.554134,GeneCards
MAP2K1,Mitogen-Activated Protein Kinase Kinase 1,41.55102,GeneCards
ACLY,ATP Citrate Lyase,41.47852,GeneCards
SMARCAL1,SNF2 Related Chromatin Remodeling Annealing Helicase 1,41.43097,GeneCards
MAPK3,Mitogen-Activated Protein Kinase 3,41.430798,GeneCards
TRPM6,Transient Receptor Potential Cation Channel Subfamily M Member 6,41.412605,GeneCards
MIR17,MicroRNA 17,41.40696,GeneCards
MIR214,MicroRNA 214,41.234455,GeneCards
ATF3,Activating Transcription Factor 3,41.18651,GeneCards
SKI,SKI Proto-Oncogene,41.163944,GeneCards
GATA2,GATA Binding Protein 2,41.06626,GeneCards
MCFD2,"Multiple Coagulation Factor Deficiency 2, ER Cargo Receptor Complex Subunit",41.047222,GeneCards
NOS1,Nitric Oxide Synthase 1,41.031,GeneCards
APCDD1,APC Down-Regulated 1,40.961216,GeneCards
GNAS,GNAS Complex Locus,40.957375,GeneCards
SOCS1,Suppressor Of Cytokine Signaling 1,40.928272,GeneCards
SCARB2,Scavenger Receptor Class B Member 2,40.78498,GeneCards
GCLC,Glutamate-Cysteine Ligase Catalytic Subunit,40.70133,GeneCards
FCGR2A,Fc Gamma Receptor IIa,40.662766,GeneCards
PRKCD,Protein Kinase C Delta,40.58967,GeneCards
HOTAIR,HOX Transcript Antisense RNA,40.54077,GeneCards
KLF11,KLF Transcription Factor 11,40.48392,GeneCards
SERPINC1,Serpin Family C Member 1,40.471073,GeneCards
PARP15,Poly(ADP-Ribose) Polymerase Family Member 15,40.391365,GeneCards
SERPINF1,Serpin Family F Member 1,40.382698,GeneCards
WIZ,WIZ Zinc Finger,40.381413,GeneCards
SLC2A1,Solute Carrier Family 2 Member 1,40.37541,GeneCards
NFKB1,Nuclear Factor Kappa B Subunit 1,40.355194,GeneCards
ETS1,"ETS Proto-Oncogene 1, Transcription Factor",40.297337,GeneCards
METTL14,"Methyltransferase 14, N6-Adenosine-Methyltransferase Non-Catalytic Subunit",40.225754,GeneCards
